"","total_rain1","total_rain2","total_rain3","total_rain4","total_rain5","total_rain6","total_rain7","total_rain8","total_rain9","total_rain10","total_rain11","total_rain12","total_rain13","total_rain14","total_rain15","total_rain16","total_rain17","total_rain18","total_rain19","total_rain20","total_rain21","total_rain22","total_rain23","total_rain24","total_rain25","total_rain26","total_rain27","total_rain28","total_rain29","total_rain30","total_rain31","total_rain32","total_rain33","total_rain34","total_rain35","total_rain36","total_rain37","total_rain38","total_rain39","total_rain40","total_rain41","total_rain42"
"46234",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6,NA,NA,NA,NA
"46239",NA,NA,NA,NA,NA,NA,7.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4,NA,NA,NA,NA,NA,NA,26.4,NA,23,NA,0.2
"46240",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.6
"46242",NA,NA,NA,6.7,2,NA,7.4,NA,11,NA,NA,NA,NA,17.6,9.8,NA,10.8,10,NA,NA,NA,NA,NA,3.5,22,15,NA,14,NA,NA,7.9,11.3,NA,NA,NA,NA,2,5.4,NA,6,NA,0.2
"46243",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8,NA,4.1,NA,6
"46244",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46245",NA,NA,NA,NA,7.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46246",NA,NA,NA,28.4,23.3,NA,5,NA,32.4,NA,NA,NA,NA,3.6,NA,21,4.8,12.6,NA,NA,NA,NA,NA,12.2,11,11,NA,5.4,NA,NA,3.7,15.4,NA,NA,NA,NA,19.4,1.2,NA,11,NA,5
"46247",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46248",NA,NA,NA,8,0.2,NA,NA,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,4.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46250",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46251",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46253",NA,NA,NA,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46254",NA,NA,NA,17.3,0.3,NA,NA,NA,18.6,NA,NA,NA,NA,NA,NA,1.4,NA,NA,NA,NA,NA,NA,NA,0.8,24,NA,NA,1.2,NA,NA,NA,11,NA,NA,NA,NA,NA,0.8,NA,NA,NA,NA
"46255",NA,NA,NA,3,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,2.4,NA,NA,NA,NA,NA,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8,NA,NA,NA,NA
"46258",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46263",NA,NA,NA,NA,22.6,NA,NA,NA,NA,NA,NA,NA,NA,4,20.9,NA,8.2,NA,NA,NA,NA,NA,NA,7.8,NA,NA,NA,NA,NA,NA,2.8,7.6,NA,NA,NA,NA,9.4,NA,NA,NA,NA,NA
"46264",NA,NA,NA,NA,4,NA,7,NA,23.7,NA,NA,NA,NA,16.4,2.8,NA,10,NA,NA,NA,NA,NA,NA,9.6,1,NA,NA,3,NA,NA,6,9.8,NA,NA,NA,NA,25,NA,NA,NA,NA,NA
"46265",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46266",NA,NA,NA,56.6,13,NA,NA,NA,20.8,NA,NA,NA,NA,28.6,61,NA,4.2,NA,NA,NA,NA,NA,NA,43.2,1.6,86,NA,1,NA,NA,3,23.3,NA,NA,NA,NA,5.4,NA,NA,NA,NA,NA
"46267",NA,NA,NA,21.2,NA,NA,26.6,NA,27.2,NA,NA,NA,NA,40.2,9.4,NA,32,NA,NA,NA,NA,NA,NA,14.7,35,25,NA,31.4,NA,NA,22.8,21,NA,NA,NA,NA,11.6,7.8,NA,6,NA,0.4
"46268",NA,NA,NA,3,NA,NA,13.8,NA,16.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,NA,NA,10,NA,NA,1,2.2,NA,NA,NA,NA,0.8,51.4,NA,53.4,NA,39.4
"46269",NA,NA,NA,17.4,0.7,NA,16.2,NA,NA,NA,NA,NA,NA,3,35.2,NA,2,NA,NA,NA,NA,NA,NA,1.7,23.8,1.4,NA,10.8,NA,NA,8.4,10.8,NA,NA,NA,NA,1.8,NA,NA,3.8,NA,NA
"46270",NA,NA,NA,4.7,36.8,NA,16.8,NA,7.5,NA,NA,NA,NA,14.8,41,NA,11.5,NA,NA,NA,NA,NA,NA,11.4,3.8,17.4,NA,9.4,NA,NA,13.4,8,NA,NA,NA,NA,62.2,11.2,NA,20.2,NA,15.4
"46271",NA,NA,NA,NA,NA,NA,12.6,NA,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.1,NA,NA,2,NA,NA,4.4,NA,NA,NA,NA,NA,NA,4.8,NA,1,NA,16.6
"46272",NA,NA,NA,2.5,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46273",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4,NA,NA,NA,NA,NA,2.2,NA,NA,NA,NA
"46274",NA,NA,NA,NA,3.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.8,NA,NA,NA,NA,NA
"46275",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46276",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4
"46279",NA,NA,NA,NA,NA,NA,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.2,NA,NA,NA,NA,NA,NA,5.2,NA,1.2,NA,NA
"46280",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1,NA,5.4
"46284",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.7,NA,NA,9,NA,NA,NA,3.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46285",NA,NA,NA,NA,NA,NA,NA,NA,11.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.4,5.4,NA,NA,NA,NA
"46286",NA,NA,NA,2.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46291",NA,NA,NA,NA,NA,NA,9.8,NA,2.6,NA,NA,NA,NA,5.6,NA,NA,32.8,NA,NA,NA,NA,NA,NA,3.6,NA,NA,NA,0.4,NA,NA,25.6,12.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46292",NA,NA,NA,9.4,NA,NA,NA,NA,7.5,NA,NA,NA,NA,11.6,NA,NA,2.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8,NA,NA,NA,NA,NA,NA,11.2,NA,5.6,NA,16.4
"46538",NA,NA,NA,NA,NA,NA,1.8,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46539",NA,NA,NA,2,NA,NA,14.2,NA,1,NA,NA,NA,NA,40.2,7,NA,36.6,NA,NA,NA,NA,NA,NA,21.2,NA,33,NA,NA,NA,NA,43.8,0.2,NA,NA,NA,NA,7,NA,NA,NA,NA,NA
"46540",NA,NA,NA,5,NA,NA,5.2,NA,2.4,NA,NA,NA,NA,9.9,5.1,6.8,8,NA,NA,NA,NA,NA,NA,8,NA,4,NA,1.2,NA,NA,5.8,2.8,NA,NA,NA,NA,0.6,7.4,NA,5.8,NA,1.4
"46543",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,NA,NA,NA,NA
"46546",NA,NA,NA,0.6,NA,NA,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46547",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6,NA,NA,0.5,NA,NA,NA,NA,NA,NA,0.4,NA,NA,NA,NA,NA,NA,1.6,0.2,NA,NA,NA,NA,5.4,1.8,NA,1.7,NA,0.6
"46550",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2,NA,NA,NA,NA,NA,NA,NA,1.2,NA,NA,NA,NA,NA,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46551",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.4,NA,NA,2.2,NA,NA,NA,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46552",NA,NA,NA,4,NA,NA,NA,NA,1.2,NA,NA,NA,NA,1.9,0.2,1.8,1.6,NA,NA,NA,NA,NA,NA,4.8,NA,2,NA,NA,NA,NA,1.6,0.3,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"46554",NA,NA,NA,3.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,10.4,9.3,5.6,NA,NA,NA,NA,NA,NA,5,2,3,NA,2.8,NA,NA,7.6,0.6,NA,NA,NA,NA,1.2,12.2,NA,5.2,NA,12
"46555",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4,NA,NA,3.9,NA,NA
"46558",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,NA,NA,NA,NA,1.2,NA,NA,NA,NA,NA
"46559",NA,NA,NA,NA,NA,NA,NA,NA,1.6,NA,NA,NA,NA,4.4,3.8,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4,0.6,NA,NA,NA,NA,3.4,NA,NA,NA,NA,NA
"46560",NA,NA,NA,14.6,9,NA,1.2,NA,10.8,NA,NA,NA,NA,8.7,14.2,24.2,8,NA,NA,NA,NA,NA,NA,8.6,0.8,15,NA,NA,NA,NA,3.6,9.1,NA,NA,NA,NA,21,NA,NA,NA,NA,NA
"46561",NA,NA,NA,3.2,NA,NA,NA,NA,4.8,NA,NA,NA,NA,0.5,0.2,NA,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46562",NA,NA,NA,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,0.4
"46563",NA,NA,NA,0.4,2,NA,NA,NA,NA,NA,NA,NA,NA,3.2,1,1,NA,NA,NA,NA,NA,NA,NA,1.2,0.3,2,NA,NA,NA,NA,NA,0.1,NA,NA,NA,NA,4.2,NA,NA,NA,NA,0.4
"46564",NA,NA,NA,NA,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.8,NA,0.5,NA,NA,NA,NA,NA,NA,1.6,3,NA,NA,2,NA,NA,0.6,7.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46565",NA,NA,NA,NA,NA,NA,4.4,NA,5.4,NA,NA,NA,NA,1.7,NA,3,4.8,NA,NA,NA,NA,NA,NA,0.2,8.5,NA,NA,4.4,NA,NA,3,NA,NA,NA,NA,NA,2.8,6,NA,2.8,NA,7
"46566",NA,NA,NA,7,NA,NA,NA,NA,1.7,NA,NA,NA,NA,NA,NA,NA,0.6,NA,NA,NA,NA,NA,NA,NA,0.5,2,NA,1,NA,NA,NA,2.8,NA,NA,NA,NA,NA,NA,NA,1,NA,3.2
"46568",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2,2,NA,1.8,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1.2,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA
"46569",NA,NA,NA,6.2,NA,NA,1.6,NA,4.6,NA,NA,NA,NA,5.6,0.2,NA,4.2,NA,NA,NA,NA,NA,NA,4.8,10.2,4,NA,7.6,NA,NA,5.8,4.2,NA,NA,NA,NA,NA,7.4,NA,NA,NA,NA
"46570",NA,NA,NA,0.2,NA,NA,2.2,NA,3.4,NA,NA,NA,NA,NA,NA,NA,0.4,NA,NA,NA,NA,NA,NA,0.6,8.8,NA,NA,7.2,NA,NA,1,1.2,NA,NA,NA,NA,2,9.8,NA,17.5,NA,9.6
"46571",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA,2.8,NA,NA,6.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46574",NA,NA,NA,5.7,NA,NA,3.6,NA,4.6,NA,NA,NA,NA,2.1,0.8,NA,1.2,NA,NA,NA,NA,NA,NA,1.6,1,NA,NA,1.2,NA,NA,2.2,7,NA,NA,NA,NA,NA,4.2,NA,9.2,NA,6.6
"46576",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.4,NA,NA
"46581",NA,NA,NA,0.4,3.4,NA,9.8,NA,NA,NA,NA,NA,NA,5.2,1,NA,4.4,NA,NA,NA,NA,NA,NA,NA,0.5,4,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,5.4,NA,3,NA,NA
"46582",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.7,NA,2.8
"46586",NA,NA,NA,NA,NA,NA,11.2,NA,6.7,NA,NA,NA,NA,17,2.6,NA,21,NA,NA,NA,NA,NA,NA,12.8,8,NA,NA,14,NA,NA,18.6,8.8,NA,NA,NA,NA,1.4,11.2,NA,13,NA,5.6
"46587",NA,NA,NA,4.4,NA,NA,0.2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.4
"46588",NA,NA,NA,NA,NA,NA,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.2,NA,NA,NA,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46589",NA,NA,NA,15.8,3.2,NA,1.2,NA,3.4,NA,NA,NA,NA,10.5,8.6,NA,10.4,NA,NA,NA,NA,NA,NA,7.6,3.5,9.5,NA,5.8,NA,NA,8.2,7.3,NA,NA,NA,NA,6.6,NA,NA,NA,NA,NA
"46590",NA,NA,NA,NA,NA,NA,2,NA,5.4,NA,NA,NA,NA,4.5,NA,NA,4.2,NA,NA,NA,NA,NA,NA,NA,1.5,NA,NA,2,NA,NA,4.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46592",NA,NA,NA,NA,NA,NA,7.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,0.4,NA,NA,1.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46593",NA,NA,NA,9.4,NA,NA,NA,NA,7.9,NA,NA,NA,NA,14,0.2,NA,11,NA,NA,NA,NA,NA,NA,5.6,24,12,NA,20.8,NA,NA,9.8,14.7,NA,NA,NA,NA,0.6,17.2,NA,7.2,NA,2.4
"46594",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,5,NA,5.6
"46596",NA,NA,NA,NA,NA,NA,1.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46597",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8,NA,NA,NA,NA,NA,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46599",NA,NA,NA,NA,9.2,NA,1.8,NA,NA,NA,NA,0.4,NA,3.4,5.6,NA,6.8,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,3.4,NA,NA,6.6,6.9,NA,NA,NA,NA,9.6,3.8,NA,NA,NA,NA
"46600",NA,NA,NA,NA,0.2,NA,14,NA,12.2,NA,NA,NA,NA,NA,NA,13,1.8,NA,NA,NA,NA,NA,NA,NA,NA,10.2,NA,1.2,NA,NA,3.4,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46602",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46603",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.2,NA,NA,NA,NA,NA,NA,4.4,NA,NA,NA,NA,NA,2.8,0.2,NA,NA,NA,NA
"46605",NA,NA,NA,NA,NA,NA,3.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4,NA,NA,NA,NA,NA,NA,10.2,NA,NA,NA,NA
"46606",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.8,NA,2.2,6.8,NA,1.6,NA,NA,NA,NA,NA,NA,NA,NA,0.2,NA,1,NA,NA,2.4,2.3,NA,NA,NA,NA,NA,6.8,NA,3.4,NA,NA
"46607",NA,NA,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8,NA,4
"46608",NA,NA,NA,NA,NA,NA,2.2,NA,NA,NA,NA,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.4,NA,4,NA,NA
"46610",NA,NA,NA,NA,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46611",NA,NA,NA,1.6,24.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.2,NA,NA,NA,NA,NA,NA,NA,NA,13.6,NA,14,NA,NA,NA,NA,NA,4.6,NA,NA,NA,NA,53.2,NA,NA,NA,NA,NA
"46612",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8,NA,16.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.2,NA,NA
"46615",NA,NA,NA,5.6,10,NA,1.8,NA,NA,NA,NA,NA,NA,5.6,8.8,54.2,1,NA,NA,NA,NA,NA,NA,4,NA,4.2,NA,0.4,NA,NA,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46616",NA,NA,NA,33.2,18.4,NA,29.2,NA,38.6,NA,NA,24,NA,29.9,21.2,6.4,39.8,NA,NA,NA,NA,NA,NA,26.8,NA,28,NA,19.8,NA,NA,31.4,30.2,NA,NA,NA,NA,42.2,28.2,NA,58,NA,22.2
"46617",NA,NA,NA,NA,NA,NA,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2
"46619",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.6,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46620",NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46621",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,4.2,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,10.4,NA,NA,NA,NA,NA,NA,14.2,NA,5.6,NA,9.4
"46622",NA,NA,NA,1.4,NA,NA,NA,NA,0.4,NA,NA,NA,NA,NA,NA,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,NA,NA,NA,NA,2.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2
"46625",NA,NA,NA,3.4,6.2,NA,5,NA,3,NA,NA,1.6,NA,NA,NA,NA,3.8,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,2.8,NA,NA,2.2,3.6,NA,NA,NA,NA,NA,7.4,NA,10,NA,1
"46626",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8,NA,NA,NA,NA,NA
"46630",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46631",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46633",NA,NA,NA,NA,5.2,NA,6.2,NA,NA,NA,NA,NA,NA,5,NA,NA,5,NA,NA,NA,NA,NA,NA,3.2,NA,4,NA,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46634",NA,NA,NA,1.1,7.8,NA,3,NA,0.4,NA,NA,5,NA,6.9,NA,NA,13.6,NA,NA,NA,NA,NA,NA,9,6,NA,NA,12,NA,NA,18,4.2,NA,NA,NA,NA,0.8,6.2,NA,29,NA,7.8
"46635",NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,16.4,NA,21.7,NA,NA,10.6,NA,NA,NA,NA,NA,NA,18.6,13.2,NA,NA,14.4,NA,NA,12.2,5.1,NA,NA,NA,NA,2.4,5.2,NA,0.8,NA,0.2
"46636",NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46637",NA,NA,NA,NA,NA,NA,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,26.6,NA,NA,NA,4.8
"46641",NA,NA,NA,NA,1,NA,0.3,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
